id,body_part,equipment,gif_url,name,target
1,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/0001.gif,"3/4 sit-up",abs
2,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/0002.gif,"45Â° side bend",abs
3,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/0003.gif,"air bike",abs
6,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/0006.gif,"alternate heel touchers",abs
7,back,cable,http://d205bpvrqc9yn1.cloudfront.net/0007.gif,"alternate lateral pulldown",lats
9,chest,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/0009.gif,"assisted chest dip (kneeling)",pectorals
10,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0010.gif,"assisted hanging knee raise with throw down",abs
11,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0011.gif,"assisted hanging knee raise",abs
12,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0012.gif,"assisted lying leg raise with lateral throw down",abs
13,waist,assisted,http://d205bpvrqc9yn1.cloudfront.net/0013.gif,"assisted lying leg raise with throw down",abs
14,waist,"medicine ball",http://d205bpvrqc9yn1.cloudfront.net/0014.gif,"assisted motion russian twist",abs
15,back,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/0015.gif,"assisted parallel close grip pull-up",lats
16,"upper legs",assisted,http://d205bpvrqc9yn1.cloudfront.net/0016.gif,"assisted prone hamstring",hamstrings
17,back,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/0017.gif,"assisted pull-up",lats
18,"upper arms",assisted,http://d205bpvrqc9yn1.cloudfront.net/0018.gif,"assisted standing triceps extension (with towel)",triceps
19,"upper arms","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/0019.gif,"assisted triceps dip (kneeling)",triceps
20,"upper legs","body weight",http://d205bpvrqc9yn1.cloudfront.net/0020.gif,"balance board",quads
22,back,barbell,http://d205bpvrqc9yn1.cloudfront.net/0022.gif,"barbell pullover to press",lats
23,"upper arms",barbell,http://d205bpvrqc9yn1.cloudfront.net/0023.gif,"barbell alternate biceps curl",biceps
24,"upper legs",barbell,http://d205bpvrqc9yn1.cloudfront.net/0024.gif,"barbell bench front squat",quads
